Allocation Ref,SHLAA Refs,Address,Capacity,Completed post-2012,Under construction,Not started,Area HA,Green/Brown,Status
HG1-1,734,"Bradford Road - High Royds, Menston",349,335,14,0,,,Draft
HG2-5,1180A_1311,Coach Road/Park Road Guiseley,83,,,,5.3,Greenfield,Draft
